Year,Dota 2,Counter-Strike,League of Legends,Fortnite,PUBG Mobile,Arena of Valor,VALORANT,Rainbow Six Siege,Rocket League,PUBG,Overwatch,Call of Duty,Apex Legends,Hearthstone,Free Fire
2015,31036820,6297500,7746985,0,0,0,0,0,0,0,0,2484861,0,2373999,0
2016,37464037,17273315,10519032,0,0,358330,0,320680,508706,0,2018742,3862186,0,3491549,0
2017,38124599,19295991,12261870,0,0,2197021,0,1007150,1594601,1007804,3489158,4041684,0,3497170,0
2018,41549361,23327666,14706162,19933737,0,7076331,0,2047523,2548273,8809745,6615546,4302667,0,4757535,0
2019,47108907,22305079,10412069,80688259,4201599,10721767,0,5151239,3316500,11603432,9593647,6391689,2863383,4521391,0
2020,10126576,16088293,8767906,18527793,8899778,10195179,2503128,6666965,4428752,6734991,7293708,9978579,2270662,4634415,2539918
2021,47964064,21869853,8421299,23032953,21904038,17929981,7108864,9257505,5885487,16291260,6059256,12449202,5141786,3052468,5009059
2022,32970259,17601469,8219428,18671068,23686767,27979978,7135547,8044807,9864121,8495764,6110257,8484506,6361121,0,6197814
2023,30820180,21283425,7745967,19720438,21219991,19185452,8925456,8994511,8780151,7621442,4763212,5483127,5263020,0,0
2024,23856355,21052764,8700299,12351439,6915714,19824248,7159690,7874874,6921517,6473271,2765302,6232000,4903264,0,2598900
2025,11592000,13976716,5279202,9966422,2340167,2072549,1779421,520000,8400526,0,0,3690000,5000000,0,1010000
