Year,Total Prize Pool (Top 20),Total Players,Total Tournaments,Top Game,Top Game Prize,Top Game Players
2015,63457768,10968,3936,Dota 2,31036820,982
2016,93268994,13187,4081,Dota 2,37464037,896
2017,113184274,14609,4579,Dota 2,38124599,1056
2018,155463626,18485,4892,Dota 2,41549361,1192
2019,234041045,21827,4276,Fortnite,80688259,3480
2020,129514255,20570,4714,Fortnite,18527793,2635
2021,220555788,20662,3206,Dota 2,47964064,1075
2022,213567605,21488,3061,Dota 2,32970259,1081
2023,198907796,22916,2818,Dota 2,30820180,1015
2024,168844261,16625,1766,Dota 2,23856355,767
2025,73978685,12579,1190,Counter-Strike 2,13976716,3060
